customer_id,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus,cust_name,Bonus_ROI,Age_Group,Customer_Lifetime_Value,Income_Category
3836,Croatia,58,Male,26679,78,26,300,45.0,92805,991,100,1000,5000,500,50000,Yes,Seth Lin,4.0,46-60,500000,Low Income
5261,Montserrat,49,Female,49662,8,18,228,49.0,86589,983,100,1000,5000,500,50000,Yes,George Torres,4.0,46-60,500000,Middle Income
8834,China,53,Female,71015,20,23,307,45.0,93695,991,100,1000,5000,500,50000,Yes,Benjamin Marshall,4.0,46-60,500000,High Income
4528,Malawi,21,Male,26630,38,1,358,10.0,75221,975,87,962,4921,500,49860,Yes,Michael Gilbert,4.115384615,18-30,428127,Low Income
4659,Equatorial Guinea,71,Female,102965,40,3,271,28.0,86152,994,100,1000,5000,500,50000,Yes,Anthony Johnson,4.0,60+,500000,High Income
3939,Sweden,60,Male,25984,33,11,278,42.0,94157,996,100,1000,5000,500,50000,No,David Little,4.0,60+,500000,Low Income
7191,Puerto Rico,74,Male,139680,79,28,358,33.0,98786,992,100,1000,5000,500,50000,Yes,Cynthia Newman,4.0,60+,500000,High Income
5490,Burundi,80,Male,97381,22,33,184,41.0,95119,996,100,1000,5000,500,50000,No,Jonathan Meyer,4.0,60+,500000,High Income
4714,Monaco,25,Male,55386,23,31,148,37.0,97904,994,100,1000,5000,500,50000,No,Julie Cline,4.0,18-30,500000,Middle Income
1345,Comoros,43,Female,124803,40,13,242,46.0,90757,992,100,1000,5000,500,50000,Yes,Brian Jackson,4.0,31-45,500000,High Income
7250,Netherlands Antilles,25,Female,97040,26,23,228,50.0,85307,980,100,1000,5000,500,50000,Yes,Theresa Oliver,4.0,18-30,500000,High Income
4237,South Georgia and the South Sandwich Islands,26,Male,121168,12,12,322,37.0,97165,995,100,1000,5000,500,50000,No,Cynthia Ford,4.0,18-30,500000,High Income
7681,Pitcairn Islands,77,Female,41032,27,10,365,25.0,87404,988,100,1000,5000,500,50000,Yes,Brandon Welch,4.0,60+,500000,Middle Income
7964,Egypt,46,Female,32775,32,28,314,42.0,96024,993,100,1000,5000,500,50000,Yes,Beverly Glover,4.0,46-60,500000,Middle Income
2256,Fiji,51,Female,45034,45,2,249,27.0,83631,989,100,1000,5000,500,50000,Yes,Bonnie Stein,4.0,46-60,500000,Middle Income
3678,Dominica,58,Male,21215,63,3,220,29.0,86885,995,100,1000,5000,500,50000,Yes,Kevin Wilson,4.0,46-60,500000,Low Income
8890,Germany,75,Male,58008,8,38,249,37.0,93291,999,100,1000,5000,500,50000,No,Edward Martin,4.0,60+,500000,Middle Income
7500,Cape Verde,74,Female,31463,63,25,307,45.0,93921,992,100,1000,5000,500,50000,Yes,William Harris,4.0,60+,500000,Middle Income
9730,Finland,46,Male,69494,8,31,285,44.0,93253,994,100,1000,5000,500,50000,Yes,Ashley Tran,4.0,46-60,500000,Middle Income
9281,Netherlands Antilles,60,Female,96639,56,38,90,13.0,75221,975,96,992,4982,500,49988,Yes,Darren Jackson,4.022177419,60+,478272,High Income
9429,Czech Republic,49,Male,27650,14,11,162,37.0,96603,996,100,1000,5000,500,50000,No,Melissa Lee,4.0,46-60,500000,Low Income
1905,Thailand,43,Male,129735,17,17,141,38.0,98899,991,100,1000,5000,500,50000,No,Anna Summers,4.0,31-45,500000,High Income
4052,Nepal,24,Male,59738,45,7,285,35.0,93762,999,100,1000,5000,500,50000,No,Alice Reed,4.0,18-30,500000,Middle Income
3354,Lithuania,74,Female,63006,30,15,220,47.0,89423,989,100,1000,5000,500,50000,Yes,Barry Jennings,4.0,60+,500000,Middle Income
7135,Montenegro,64,Male,26989,57,27,90,25.0,91268,989,100,1000,5000,500,50000,Yes,Robin Eaton,4.0,60+,500000,Low Income
4762,Bangladesh,72,Male,103933,28,23,162,44.0,95339,992,100,1000,5000,500,50000,Yes,Tammie Brewer,4.0,60+,500000,High Income
9707,Thailand,27,Female,42390,57,36,90,16.0,75221,975,99,998,4996,500,49999,Yes,Ryan Ford,4.006012024,18-30,494604,Middle Income
3055,Belarus,59,Male,60455,54,10,322,35.0,95986,997,100,1000,5000,500,50000,No,Julia Greene,4.0,46-60,500000,Middle Income
8410,Denmark,21,Female,90093,62,30,170,42.0,95743,994,100,1000,5000,500,50000,Yes,Richard Mitchell,4.0,18-30,500000,High Income
3688,Norway,42,Male,124567,27,9,213,40.0,94123,997,100,1000,5000,500,50000,No,Isaac Rodriguez,4.0,31-45,500000,High Income
6292,Cayman Islands,51,Female,44422,15,8,322,32.0,93406,998,100,1000,5000,500,50000,No,James Yates,4.0,46-60,500000,Middle Income
4398,Bulgaria,21,Female,80451,63,5,256,33.0,91595,1000,100,1000,5000,500,50000,No,Jose Mason,4.0,18-30,500000,High Income
3346,Bangladesh,49,Male,29630,8,8,199,37.0,94434,998,100,1000,5000,500,50000,No,Courtney Morgan,4.0,46-60,500000,Low Income
5609,Nicaragua,74,Male,60929,15,31,278,44.0,92424,993,100,1000,5000,500,50000,Yes,Cynthia Munoz,4.0,60+,500000,Middle Income
5380,North Macedonia,74,Female,145454,41,38,220,36.0,93320,1000,100,1000,5000,500,50000,No,Joshua Tate,4.0,60+,500000,High Income
6942,Mongolia,39,Female,144171,25,13,314,39.0,96834,994,100,1000,5000,500,50000,No,Sharon Baldwin,4.0,31-45,500000,High Income
7205,Palestinian Territory,42,Female,41810,61,19,133,38.0,99559,990,100,1000,5000,500,50000,Yes,Douglas Bennett,4.0,31-45,500000,Middle Income
3450,Norfolk Island,62,Female,22489,75,28,104,29.0,95922,992,100,1000,5000,500,50000,Yes,Brooke Wright,4.0,60+,500000,Low Income
5705,Iraq,57,Female,101795,62,35,148,32.0,94970,997,100,1000,5000,500,50000,Yes,Abigail Lloyd,4.0,46-60,500000,High Income
8303,Denmark,45,Male,119298,55,29,133,36.0,98904,992,100,1000,5000,500,50000,Yes,Ashley Mcgee,4.0,46-60,500000,High Income
9390,Hungary,74,Female,109018,78,24,264,49.0,86489,982,100,1000,5000,500,50000,Yes,Nicole Lyons,4.0,60+,500000,High Income
7622,Slovakia (Slovak Republic),28,Male,47970,39,8,235,39.0,93816,998,100,1000,5000,500,50000,No,Chad Day,4.0,18-30,500000,Middle Income
8686,Russian Federation,50,Male,135485,71,35,329,33.0,95065,997,100,1000,5000,500,50000,Yes,Alejandro Blackburn,4.0,46-60,500000,High Income
5978,Finland,32,Male,73990,7,11,242,43.0,92525,995,100,1000,5000,500,50000,No,Timothy Griffin,4.0,31-45,500000,High Income
4477,Ukraine,47,Male,22069,32,9,191,38.0,94947,998,100,1000,5000,500,50000,No,Rebecca Moreno,4.0,46-60,500000,Low Income
4052,Nepal,24,Male,59738,5,4,97,10.0,75221,975,90,974,4944,500,49921,Yes,Alice Reed,4.075975359,18-30,444960,Middle Income
7043,Slovenia,51,Male,34227,40,3,162,23.0,78667,975,100,1000,5000,500,50000,Yes,Matthew Mills,4.0,46-60,500000,Middle Income
2592,Trinidad and Tobago,77,Male,70605,23,26,300,45.0,92805,991,100,1000,5000,500,50000,Yes,Anthony Terry,4.0,60+,500000,High Income
6032,Togo,23,Female,104128,7,38,177,32.0,92617,999,100,1000,5000,500,50000,No,Dale Simmons,4.0,18-30,500000,High Income
1520,Canada,24,Male,112431,74,4,199,30.0,88587,997,100,1000,5000,500,50000,No,Derrick Clark,4.0,18-30,500000,High Income
9705,Korea,60,Female,101919,12,40,322,26.0,83983,987,100,1000,5000,500,50000,Yes,Nathaniel Cline,4.0,60+,500000,High Income
3761,Switzerland,20,Male,124780,73,24,170,45.0,93974,991,100,1000,5000,500,50000,Yes,Amanda Allen,4.0,18-30,500000,High Income
8478,Mongolia,40,Female,112309,40,35,307,36.0,95679,997,100,1000,5000,500,50000,Yes,Cathy Sanchez,4.0,31-45,500000,High Income
8385,Ghana,57,Female,30112,48,8,162,33.0,93953,998,100,1000,5000,500,50000,No,Nicole Smith,4.0,46-60,500000,Middle Income
8888,Solomon Islands,50,Male,130382,38,4,141,21.0,75829,975,99,1000,5000,500,50000,Yes,Michelle Martinez,4.0,46-60,495000,High Income
2394,San Marino,32,Male,23823,10,40,155,25.0,83694,986,100,1000,5000,500,50000,Yes,Cassidy Gomez,4.0,31-45,500000,Low Income
2530,Peru,67,Male,33004,44,16,228,48.0,88124,987,100,1000,5000,500,50000,Yes,Jacob Cline,4.0,60+,500000,Middle Income
3464,Italy,57,Female,119264,6,6,336,25.0,85173,988,100,1000,5000,500,50000,Yes,Michael Lewis,4.0,46-60,500000,High Income
3388,Andorra,76,Female,53022,7,14,126,33.0,97694,993,100,1000,5000,500,50000,No,Jeffrey Alvarez,4.0,60+,500000,Middle Income
5710,Guyana,68,Male,38555,27,6,133,24.0,82195,980,100,1000,5000,500,50000,Yes,Stacy Farmer,4.0,60+,500000,Middle Income
6253,Mayotte,32,Male,73104,9,19,242,50.0,85756,981,100,1000,5000,500,50000,Yes,Susan Delgado,4.0,31-45,500000,High Income
4953,Malta,30,Male,73482,25,7,191,35.0,93751,999,100,1000,5000,500,50000,No,Tonya Werner,4.0,31-45,500000,High Income
7438,Guam,31,Male,47203,37,20,329,41.0,97800,991,100,1000,5000,500,50000,Yes,Jennifer Fischer,4.0,31-45,500000,Middle Income
9901,Moldova,69,Male,57355,67,17,184,45.0,92430,991,100,1000,5000,500,50000,Yes,Wendy Smith,4.0,60+,500000,Middle Income
7383,Maldives,41,Female,125000,55,2,90,5.5,75221,975,44,628,4036,462,46897,Yes,James Mason,5.426751592,31-45,177584,High Income
5261,Congo,18,Female,133428,66,25,358,34.0,99778,990,100,1000,5000,500,50000,Yes,Brandon Johnson,4.0,18-30,500000,High Income
9466,Equatorial Guinea,32,Male,126607,27,24,285,48.0,89605,988,100,1000,5000,500,50000,Yes,Whitney Wilson,4.0,31-45,500000,High Income
8210,Spain,40,Female,66648,10,28,358,33.0,98786,992,100,1000,5000,500,50000,Yes,Michael Lopez,4.0,31-45,500000,Middle Income
8007,Uzbekistan,46,Male,107684,6,22,191,48.0,89746,988,100,1000,5000,500,50000,Yes,Alicia Blake,4.0,46-60,500000,High Income
2256,Fiji,51,Female,45034,16,9,112,23.0,83754,981,100,1000,5000,500,50000,Yes,Bonnie Stein,4.0,46-60,500000,Middle Income
6380,Burkina Faso,74,Male,87795,57,17,329,40.0,98053,992,100,1000,5000,500,50000,Yes,Jane Ryan,4.0,60+,500000,High Income
4314,Pakistan,36,Male,96433,44,18,235,49.0,86351,983,100,1000,5000,500,50000,Yes,Carrie Lindsey,4.0,31-45,500000,High Income
7885,Mauritania,69,Male,116537,60,15,126,34.0,98416,992,100,1000,5000,500,50000,Yes,Scott Garcia,4.0,60+,500000,High Income
7299,American Samoa,23,Male,140733,6,31,343,34.0,97946,994,100,1000,5000,500,50000,No,Gerald Luna,4.0,18-30,500000,High Income
8936,Ukraine,34,Male,29387,66,32,177,41.0,95522,995,100,1000,5000,500,50000,Yes,Debra Meza,4.0,31-45,500000,Low Income
3418,Gabon,41,Female,35213,11,12,184,41.0,95070,995,100,1000,5000,500,50000,No,Aaron Lee,4.0,31-45,500000,Middle Income
2196,China,53,Male,104373,39,12,148,35.0,97305,995,100,1000,5000,500,50000,No,Sandra Jones,4.0,46-60,500000,High Income
6612,Saudi Arabia,43,Male,22211,21,1,112,7.0,75221,975,78,914,4835,498,49560,Yes,Samuel Quinn,4.289934354,31-45,377130,Low Income
6612,Saudi Arabia,43,Male,22211,47,34,293,40.0,95236,996,100,1000,5000,500,50000,Yes,Samuel Quinn,4.0,31-45,500000,Low Income
4019,China,66,Male,104111,75,9,285,38.0,94907,998,100,1000,5000,500,50000,Yes,Darlene Rodriguez,4.0,60+,500000,High Income
1432,Saint Barthelemy,39,Male,109061,13,7,300,33.0,93392,999,100,1000,5000,500,50000,No,Rachel Pacheco,4.0,31-45,500000,High Income
4452,Paraguay,19,Female,55819,65,29,177,44.0,94274,993,100,1000,5000,500,50000,Yes,Regina Taylor,4.0,18-30,500000,Middle Income
3359,Iceland,39,Female,36656,53,2,278,26.0,81541,983,100,1000,5000,500,50000,Yes,Gary Marshall,4.0,31-45,500000,Middle Income
6274,Cuba,27,Male,116502,64,15,141,37.0,98614,992,100,1000,5000,500,50000,Yes,Michelle Rogers,4.0,18-30,500000,High Income
5588,Nigeria,22,Male,43656,26,26,119,34.0,99491,990,100,1000,5000,500,50000,Yes,Tonya Schmidt,4.0,18-30,500000,Middle Income
2068,Georgia,50,Female,80138,6,5,141,23.0,80738,976,100,1000,5000,500,50000,Yes,Jacob Rios,4.0,46-60,500000,High Income
7557,Rwanda,29,Female,24035,40,39,112,17.0,75221,975,99,999,4997,500,49999,Yes,David Dawson,4.002002002,18-30,494703,Low Income
8099,China,47,Female,87016,34,28,206,47.0,89414,988,100,1000,5000,500,50000,Yes,Carolyn Gutierrez,4.0,46-60,500000,High Income
8490,Luxembourg,25,Female,126272,71,19,133,38.0,99559,990,100,1000,5000,500,50000,Yes,April Martin,4.0,18-30,500000,High Income
5845,Antigua and Barbuda,48,Male,104001,74,24,141,39.0,98911,991,100,1000,5000,500,50000,Yes,Ian Adams,4.0,46-60,500000,High Income
1605,Mongolia,80,Male,143711,6,14,336,36.0,98282,993,100,1000,5000,500,50000,No,James Waters,4.0,60+,500000,High Income
5642,Marshall Islands,59,Male,38231,75,27,235,49.0,86582,983,100,1000,5000,500,50000,Yes,Neil Larson,4.0,46-60,500000,Middle Income
2068,Georgia,50,Female,80138,47,38,249,37.0,93291,999,100,1000,5000,500,50000,No,Jacob Rios,4.0,46-60,500000,High Income
6612,Saudi Arabia,43,Male,22211,16,2,133,15.0,75221,975,97,996,4989,500,49995,Yes,Samuel Quinn,4.009036145,31-45,483933,Low Income
2371,Christmas Island,65,Female,91993,14,13,112,28.0,93602,993,100,1000,5000,500,50000,No,Aaron Greene,4.0,60+,500000,High Income
4237,South Georgia and the South Sandwich Islands,26,Male,121168,5,40,141,22.0,78812,975,100,1000,5000,500,50000,Yes,Cynthia Ford,4.0,18-30,500000,High Income
5108,El Salvador,53,Male,137382,40,34,264,42.0,93369,996,100,1000,5000,500,50000,Yes,Christina Green,4.0,46-60,500000,High Income
4689,Solomon Islands,34,Female,78318,55,14,155,39.0,97545,994,100,1000,5000,500,50000,Yes,James Huber,4.0,31-45,500000,High Income
5054,Iran,54,Male,131137,6,12,155,37.0,97202,995,100,1000,5000,500,50000,No,Alicia Navarro,4.0,46-60,500000,High Income
2992,Angola,70,Female,56332,71,39,314,29.0,88899,996,100,1000,5000,500,50000,Yes,Charles Stephenson,4.0,60+,500000,Middle Income
5802,Saudi Arabia,44,Male,85247,52,19,155,42.0,96910,992,100,1000,5000,500,50000,Yes,Stephanie Henson,4.0,31-45,500000,High Income
5838,Belgium,22,Male,148634,47,10,220,42.0,93526,996,100,1000,5000,500,50000,No,Michelle Robles,4.0,18-30,500000,High Income
7534,Congo,47,Male,137757,36,37,285,36.0,94186,999,100,1000,5000,500,50000,No,Rachel Harris,4.0,46-60,500000,High Income
4600,Tonga,49,Male,34084,5,20,170,45.0,94072,992,100,1000,5000,500,50000,No,Gloria Adams,4.0,46-60,500000,Middle Income
5953,Jamaica,80,Female,24683,70,27,358,34.0,99234,991,100,1000,5000,500,50000,Yes,Kayla Kim,4.0,60+,500000,Low Income
2494,Kuwait,53,Male,114748,77,26,170,44.0,94368,992,100,1000,5000,500,50000,Yes,Terri Ballard,4.0,46-60,500000,High Income
7180,Norfolk Island,25,Female,100468,17,9,329,32.0,94275,997,100,1000,5000,500,50000,No,Donna Williams,4.0,18-30,500000,High Income
3164,Venezuela,52,Female,75189,11,17,322,41.0,97079,992,100,1000,5000,500,50000,No,James Beasley,4.0,46-60,500000,High Income
5402,Saint Vincent and the Grenadines,46,Female,103037,27,23,170,45.0,93911,991,100,1000,5000,500,50000,Yes,Robert Meza,4.0,46-60,500000,High Income
6548,Wallis and Futuna,52,Female,43777,27,33,314,38.0,96661,995,100,1000,5000,500,50000,Yes,Robert Wagner,4.0,46-60,500000,Middle Income
4064,Guinea-Bissau,46,Male,116165,76,12,191,42.0,94376,995,100,1000,5000,500,50000,Yes,Jennifer Wright,4.0,46-60,500000,High Income
9112,Jersey,63,Male,144963,63,7,242,37.0,93595,999,100,1000,5000,500,50000,No,Margaret Swanson,4.0,60+,500000,High Income
2266,Reunion,66,Female,77406,11,30,271,46.0,90859,991,100,1000,5000,500,50000,Yes,Laura Navarro,4.0,60+,500000,High Income
5936,Kuwait,75,Male,48788,67,30,365,30.0,96036,993,100,1000,5000,500,50000,Yes,Taylor Greer,4.0,60+,500000,Middle Income
5978,Finland,32,Male,73990,26,1,170,20.0,75221,975,99,999,4998,500,50000,Yes,Timothy Griffin,4.003003003,31-45,494802,High Income
9390,Hungary,74,Female,109018,72,39,199,33.0,91959,1000,100,1000,5000,500,50000,Yes,Nicole Lyons,4.0,60+,500000,High Income
1425,Morocco,76,Female,64011,54,22,300,46.0,92287,990,100,1000,5000,500,50000,Yes,Michelle Collins,4.0,60+,500000,Middle Income
1419,Bosnia and Herzegovina,43,Female,51580,6,34,285,40.0,94736,996,100,1000,5000,500,50000,No,Brian Sanders,4.0,31-45,500000,Middle Income
9096,Sweden,73,Female,119217,22,26,271,48.0,88052,986,100,1000,5000,500,50000,Yes,Kathryn Gentry,4.0,60+,500000,High Income
1528,Sri Lanka,77,Male,141247,45,29,119,32.0,98052,992,100,1000,5000,500,50000,Yes,Frank Wallace,4.0,60+,500000,High Income
5937,Nepal,63,Female,71972,73,24,278,48.0,88404,986,100,1000,5000,500,50000,Yes,James Ross,4.0,60+,500000,High Income
9405,Antarctica (the territory South of 60 deg S),28,Female,143481,29,33,307,39.0,96210,996,100,1000,5000,500,50000,Yes,Jorge Marshall,4.0,18-30,500000,High Income
7205,Palestinian Territory,42,Female,41810,31,32,278,43.0,93139,994,100,1000,5000,500,50000,Yes,Douglas Bennett,4.0,31-45,500000,Middle Income
4152,Eritrea,52,Female,122405,59,1,191,23.0,75221,975,100,1000,5000,500,50000,Yes,Jennifer Clark,4.0,46-60,500000,High Income
6798,Antarctica (the territory South of 60 deg S),62,Female,130298,26,18,213,48.0,87701,985,100,1000,5000,500,50000,Yes,Margaret Grant,4.0,60+,500000,High Income
5579,Tunisia,42,Male,23694,77,39,177,31.0,90635,998,100,1000,5000,500,50000,Yes,Ann Harding,4.0,31-45,500000,Low Income
5437,Guyana,27,Male,148410,72,29,126,34.0,98719,992,100,1000,5000,500,50000,Yes,Jesus Wood,4.0,18-30,500000,High Income
8126,Chile,40,Female,40502,33,3,141,19.0,75221,975,99,999,4998,500,50000,Yes,Rebecca Bernard,4.003003003,31-45,494802,Middle Income
4042,Cook Islands,18,Male,138250,5,26,126,36.0,99725,990,100,1000,5000,500,50000,No,Chad Bernard,4.0,18-30,500000,High Income
3052,Greece,59,Male,114649,25,20,191,47.0,89935,988,100,1000,5000,500,50000,Yes,Jennifer Gomez,4.0,46-60,500000,High Income
5115,Kiribati,60,Male,33258,6,28,199,47.0,90362,990,100,1000,5000,500,50000,Yes,Stephanie Kaufman,4.0,60+,500000,Middle Income
1041,Finland,79,Male,75946,25,30,155,39.0,97479,993,100,1000,5000,500,50000,No,Austin Simmons,4.0,60+,500000,High Income
1610,Burundi,60,Male,131130,51,30,300,43.0,94591,994,100,1000,5000,500,50000,Yes,Denise Harris,4.0,60+,500000,High Income
7135,Montenegro,64,Male,26989,66,11,213,43.0,93277,995,100,1000,5000,500,50000,Yes,Robin Eaton,4.0,60+,500000,Low Income
6544,Solomon Islands,31,Female,99147,15,36,249,40.0,93719,998,100,1000,5000,500,50000,No,Susan Harper,4.0,31-45,500000,High Income
4953,Malta,30,Male,73482,55,14,90,23.0,85722,982,100,1000,5000,500,50000,Yes,Tonya Werner,4.0,31-45,500000,High Income
2266,Reunion,66,Female,77406,21,24,133,38.0,99617,990,100,1000,5000,500,50000,No,Laura Navarro,4.0,60+,500000,High Income
3346,Bangladesh,49,Male,29630,55,35,293,38.0,95213,997,100,1000,5000,500,50000,Yes,Courtney Morgan,4.0,46-60,500000,Low Income
1041,Finland,79,Male,75946,53,22,329,41.0,97750,991,100,1000,5000,500,50000,Yes,Austin Simmons,4.0,60+,500000,High Income
9360,Costa Rica,40,Female,47063,32,15,256,47.0,89353,989,100,1000,5000,500,50000,Yes,Crystal Whitaker,4.0,31-45,500000,Middle Income
3464,Italy,57,Female,119264,27,14,133,34.0,98206,993,100,1000,5000,500,50000,No,Michael Lewis,4.0,46-60,500000,High Income
5054,Iran,54,Male,131137,78,19,358,34.0,99675,990,100,1000,5000,500,50000,Yes,Alicia Navarro,4.0,46-60,500000,High Income
8834,China,53,Female,71015,23,13,206,44.0,92344,993,100,1000,5000,500,50000,No,Benjamin Marshall,4.0,46-60,500000,High Income
3113,Maldives,77,Female,89647,75,5,162,27.0,86941,993,100,1000,5000,500,50000,Yes,Amy Garcia,4.0,60+,500000,High Income
6312,Gambia,56,Male,110806,62,22,119,34.0,99902,990,100,1000,5000,500,50000,Yes,Justin Morrison,4.0,46-60,500000,High Income
1480,Saint Kitts and Nevis,51,Female,141408,11,2,155,20.0,75221,975,99,999,4998,500,50000,Yes,Sheila Leon,4.003003003,46-60,494802,High Income
6341,Chile,67,Female,23366,54,13,162,39.0,96927,994,100,1000,5000,500,50000,No,Shannon Gomez,4.0,60+,500000,Low Income
5261,Montserrat,49,Female,49662,42,30,271,46.0,90859,991,100,1000,5000,500,50000,Yes,George Torres,4.0,46-60,500000,Middle Income
1027,Barbados,80,Female,97634,61,25,191,47.0,90028,988,100,1000,5000,500,50000,Yes,Michael Knox,4.0,60+,500000,High Income
1258,Saint Pierre and Miquelon,23,Female,28263,78,20,256,49.0,85998,981,100,1000,5000,500,50000,Yes,Warren Wagner,4.0,18-30,500000,Low Income
4180,Romania,74,Female,109081,75,33,148,35.0,96982,995,100,1000,5000,500,50000,Yes,Tammy Browning,4.0,60+,500000,High Income
4510,Germany,41,Female,94347,35,8,206,38.0,94279,998,100,1000,5000,500,50000,No,Louis Reeves,4.0,31-45,500000,High Income
8921,Korea,53,Male,92256,24,37,97,17.0,75221,975,99,999,4997,500,49999,Yes,Kenneth Hart,4.002002002,46-60,494703,High Income
5802,Turkmenistan,52,Female,69590,44,11,256,43.0,92874,995,100,1000,5000,500,50000,Yes,Johnny Fisher,4.0,46-60,500000,Middle Income
2260,French Southern Territories,35,Female,71787,18,15,133,35.0,98717,992,100,1000,5000,500,50000,No,Linda Donovan,4.0,31-45,500000,High Income
8951,Panama,71,Female,135289,42,36,112,22.0,82272,977,100,1000,5000,500,50000,Yes,Lori Crawford,4.0,60+,500000,High Income
9633,Chile,21,Male,44602,78,25,329,41.0,97810,992,100,1000,5000,500,50000,Yes,Mark Meyer,4.0,18-30,500000,Middle Income
5677,Mexico,62,Female,93664,66,30,119,31.0,97234,993,100,1000,5000,500,50000,Yes,Parker Roth,4.0,60+,500000,High Income
8936,Ukraine,34,Male,29387,20,8,220,39.0,93979,998,100,1000,5000,500,50000,No,Debra Meza,4.0,31-45,500000,Low Income
8251,Trinidad and Tobago,64,Female,58607,41,15,177,43.0,94615,993,100,1000,5000,500,50000,Yes,James Austin,4.0,60+,500000,Middle Income
7145,Azerbaijan,23,Male,113107,62,4,336,21.0,76303,975,100,1000,5000,500,50000,Yes,Ashley Robinson,4.0,18-30,500000,High Income
7577,Monaco,38,Male,93114,28,20,235,50.0,85357,980,100,1000,5000,500,50000,Yes,Brandy Burton,4.0,31-45,500000,High Income
8048,Gabon,67,Female,140945,65,20,97,28.0,95809,991,100,1000,5000,500,50000,Yes,Dominic Johnson,4.0,60+,500000,High Income
6297,Jordan,49,Female,121590,41,9,307,35.0,95370,998,100,1000,5000,500,50000,No,Zachary Hayes,4.0,46-60,500000,High Income
1480,Saint Kitts and Nevis,51,Female,141408,55,26,170,44.0,94368,992,100,1000,5000,500,50000,Yes,Sheila Leon,4.0,46-60,500000,High Income
7205,Palestinian Territory,42,Female,41810,45,6,191,33.0,92446,999,100,1000,5000,500,50000,No,Douglas Bennett,4.0,31-45,500000,Middle Income
3761,Switzerland,20,Male,124780,52,19,329,41.0,97877,992,100,1000,5000,500,50000,Yes,Amanda Allen,4.0,18-30,500000,High Income
5378,Saint Martin,37,Male,117495,35,30,170,42.0,95743,994,100,1000,5000,500,50000,Yes,Charles Hernandez,4.0,31-45,500000,High Income
1432,Saint Barthelemy,39,Male,109061,72,2,220,27.0,83305,988,100,1000,5000,500,50000,Yes,Rachel Pacheco,4.0,31-45,500000,High Income
8046,Greenland,68,Female,39940,31,26,213,49.0,87330,984,100,1000,5000,500,50000,Yes,Sean Newton,4.0,60+,500000,Middle Income
6055,Belarus,30,Female,29349,60,9,104,21.0,79682,975,100,1000,5000,500,50000,Yes,John Schmidt,4.0,31-45,500000,Low Income
4168,Angola,63,Male,50702,77,23,365,33.0,99439,990,100,1000,5000,500,50000,Yes,Jon Harper,4.0,60+,500000,Middle Income
7135,Montenegro,64,Male,26989,37,2,300,23.0,77703,975,100,1000,5000,500,50000,Yes,Robin Eaton,4.0,60+,500000,Low Income
